"","Province","month","Type","mean.n","sd.n"
"138","Manitoba","2020-02","Prop.totalinternational",NA,NA
"139","Manitoba","2020-02","Prop.domestic",NA,NA
"140","Manitoba","2020-02","Prop.provincial",NA,NA
"141","Manitoba","2020-03","Prop.USA",0.271285514671635,0.00203748677064101
"142","Manitoba","2020-03","Prop.international",0.159804378202143,0.00603881621177939
"143","Manitoba","2020-03","Prop.totalinternational",0.431089892873777,0.00400132944113838
"144","Manitoba","2020-03","Prop.domestic",0.289729855612483,0.000810085101580162
"145","Manitoba","2020-03","Prop.provincial",0.27918025151374,0.00481141454271853
"146","Manitoba","2020-04","Prop.USA",0.0666666666666667,0
"147","Manitoba","2020-04","Prop.international",0.0333333333333333,0
"148","Manitoba","2020-04","Prop.totalinternational",0.1,0
"149","Manitoba","2020-04","Prop.domestic",0.103333333333333,0.0105409255338946
"150","Manitoba","2020-04","Prop.provincial",0.796666666666667,0.0105409255338946
"151","Manitoba","2020-05","Prop.USA",0,0
"152","Manitoba","2020-05","Prop.international",0,0
"153","Manitoba","2020-05","Prop.totalinternational",0,0
"154","Manitoba","2020-05","Prop.domestic",0,0
"155","Manitoba","2020-05","Prop.provincial",1,0
"156","Manitoba","2020-06","Prop.USA",0,0
"157","Manitoba","2020-06","Prop.international",0,0
"158","Manitoba","2020-06","Prop.totalinternational",0,0
"159","Manitoba","2020-06","Prop.domestic",0.166666666666667,0
"160","Manitoba","2020-06","Prop.provincial",0.833333333333333,0
"161","Manitoba","2020-07","Prop.USA",0.1,0.00390404649403504
"162","Manitoba","2020-07","Prop.international",0.0246913580246914,0
"163","Manitoba","2020-07","Prop.totalinternational",0.124691358024691,0.00390404649403504
"164","Manitoba","2020-07","Prop.domestic",0,0
"165","Manitoba","2020-07","Prop.provincial",0.875308641975309,0.00390404649403505
"166","Manitoba","2020-08","Prop.USA",0.0217549984132022,5.01789536681754e-05
"167","Manitoba","2020-08","Prop.international",0,0
"168","Manitoba","2020-08","Prop.totalinternational",0.0217549984132022,5.01789536681754e-05
"169","Manitoba","2020-08","Prop.domestic",0.00725166613773405,1.67263178893915e-05
